달,날짜,기사 제목,감정 수치
한겨레,20170510, 보수 10년  퇴행 바로잡고  미완의 개혁  진전시킬 기회,0
한겨레,20170510, 한겨레 사설  문재인 대통령  국민과 함께  나라다운 나라  만들길,1
한겨레,20170510,미 언론  한국 시민혁명   대북압박 트럼프에 도전 ,0
한겨레,20170510, 한겨레 사설   통합과 공존  앞세운 문 대통령의 취임사,1
한겨레,20170510, 한겨레 사설   이낙연 총리 임종석 실장  인선에 거는 기대,1
한겨레,20170511, 한겨레 사설   비검찰 민정수석  발탁  검찰개혁의 마지막 기회다,1
한겨레,20170511, 한겨레 사설  조속한  한 미 정상회담 으로 한반도 현안 풀어야,1
한겨레,20170511, 한겨레 사설   군림하지 않는 열린 청와대  만들어가길,-1
한겨레,20170512, 한겨레 사설  역사 퇴행 바로잡은 국정교과서 폐지,1
한겨레,20170512, 한겨레 사설  국정농단 재조사  특검이 정답이다,1
한겨레,20170512, 한겨레 사설  비정규직 해결 물꼬 튼  인천공항 1만명 전환 ,-1
한겨레,20170514, 한겨레 사설  민주  새 정부도 꾸리기 전에  떡고물  놓고 다투나,1
한겨레,20170514, 한겨레 사설  대화 기류에 찬물 끼얹는 북한 미사일,-1
한겨레,20170515, 한겨레 사설  유엔도 수정 권고한  한 일 위안부 합의 ,-1
한겨레,20170515, 한겨레 사설  비정규직 난제  노동자의  논의 참여 가 먼저다,1
한겨레,20170515, 한겨레 사설   석탄발전 셧다운 으로 첫발 뗀 미세먼지 30  감축,1
한겨레,20170515, 사설 속으로  한겨레 중앙일보   미국 하원 대북제재법 통과  사설 비교해   ,-1
한겨레,20170516, 한겨레 사설  한 미 정상회담  한반도 위기 해소의 돌파구 열길,-1
한겨레,20170517, 곽병찬 칼럼  이래도 대화냐고  그러니 대화다,-2
한겨레,20170517, 한겨레 사설   재벌개혁 신호탄  올린 김상조 공정위원장 발탁,-1
한겨레,20170517, 한겨레 사설   돈봉투 만찬  감찰  검찰개혁으로 이어져야,0
한겨레,20170517, 한겨레 사설  아직도 진실 다 밝히지 못한 5 18 광주항쟁,0
한겨레,20170517,지금은 검찰 국정원 개혁의 호기다,1
한겨레,20170518, 한겨레 사설   사드  국회 논의  이제 시작할 때다,0
한겨레,20170518, 한겨레 사설  피우진 보훈처장 발탁이 주는 울림,0
한겨레,20170518, 한겨레 사설  오월의 아픔 어루만진 새 대통령의 품격,-1
한겨레,20170518,사드 난제   국회 비준 동의  지렛대로 미 중 설득,0
한겨레,20170519, 한겨레 사설   소신  돋보인 헌재 검찰 인사  개혁 기대 부응하길,1
한겨레,20170519, 한겨레 사설  개헌 추진  국민 뜻 폭넓게 반영해야 성공한다,1
한겨레,20170521, 한겨레 사설  김동연 장하성 경제팀   금수저 흙수저 구조 를 깨라,0
한겨레,20170521, 한겨레 사설   안보 개념  확장한 비군인 출신 안보사령탑,0
한겨레,20170522, 한겨레 사설   4대강 재앙  책임 밝히고 근본 대책 내놓아야,-1
한겨레,20170522, 한겨레 사설   장시간 노동 근절  시급성 일깨운 게임업계 현실,1
한겨레,20170522, 사설 속으로  한겨레 중앙일보   문재인 대통령 취임  사설 비교해보기,-1
한겨레,20170523, 한겨레 사설   상생경영  나선 대기업들의 반가운 움직임,2
한겨레,20170523, 한겨레 사설  봉하마을에서  국민 모두의 정부  다짐한 문 대통령,0
한겨레,20170524, 시민편집인의 눈  문재인 대통령의 리더십과 진보 언론의 길   최영재,0
한겨레,20170524, 한겨레 사설  고위 공직 후보자들의  위장전입  문제,0
한겨레,20170525, 한겨레 사설  인권위 위상 강화  인권국가 발돋움 계기로,-1
한겨레,20170525, 한겨레 사설  검경 수사권 논의  국민 인권 편익 관점서 접근해야,-1
한겨레,20170526, 한겨레 사설  임종석 비서실장의 사과와  국무총리 인준  기준,0
한겨레,20170526, 한겨레 사설  두번 연기한 전시작전권  되도록 빨리 되찾아와야,0
한겨레,20170526, 한겨레 사설   종교인 과세  또 미루자는 김진표 위원장의 몰염치,0
한겨레,20170528, 한겨레 사설  총리 인준 파행   협치의 정신 으로 풀어야,1
한겨레,20170529, 한겨레 사설  가계부채 걱정 다시 키우는  아파트값 상승 ,-2
한겨레,20170529, 한겨레 사설  이제  총리 인준 절차  서둘러야 한다,0
한겨레,20170529, 사설 속으로  한겨레 중앙일보   돈봉투 만찬과 검찰 개혁  사설 비교해보   ,-1
한겨레,20170530, 한겨레 사설  여당 의원 4명 입각  관료사회 혁신 계기 되길,1
한겨레,20170530, 한겨레 사설   사드 추가 반입  의혹  철저히 진상 규명해야,-2
한겨레,20170531, 한겨레 사설  이낙연 총리 인준  협치의 새 출발점 돼야,0
한겨레,20170531, 한겨레 사설  국방부의 사드 보고 누락  고의였다면 책임 물어야,0
한겨레,20170601, 한겨레 사설   여야정 협의체  약속까지 깨버린 자유한국당,1
한겨레,20170601, 한겨레 사설  공무원 증원   공공서비스 확충 이 핵심이다,0
한겨레,20170602, 한겨레 사설  국정원  정치 불개입  약속  법 바꿔 못 뒤집게 해야,-1
한겨레,20170602, 한겨레 사설  과도한 의혹 제기로 끝난  김상조 청문회 ,-1
한겨레,20170604, 한겨레 사설  사드 배치  환경영향평가 이제라도 제대로 해야,-1
한겨레,20170605, 한겨레 사설  안보실 2차장 낙마   검증 강화  계기 삼아야,-1
한겨레,20170605, 한겨레 사설   사드 도입  모든 과정 이 기회에 제대로 점검해야,0
한겨레,20170605, 한겨레 사설  사상 최악의 청년실업과  일자리 추경 ,-2
한겨레,20170605, 사설 속으로  한겨레 중앙일보   고위 공직자 인사 배제 원칙  사설 비교   ,0
한겨레,20170606, 한겨레 사설  보훈의 의미 새롭게 새긴 현충일 추념사,1
한겨레,20170607, 한겨레 사설  검찰농단 진상 밝혀내지 못한  돈봉투 감찰 ,-1
한겨레,20170608, 한겨레 사설  민생 공약 이행 첫 시험대 오른  가계 통신비 인하 ,0
한겨레,20170609, 한겨레 사설  6월항쟁 30돌  진정한  시민권력 시대  열어야,1
한겨레,20170609, 한겨레 사설  고리 1호기뿐 아니라 월성 1호기도 폐쇄해야,-1
한겨레,20170609, 한겨레 사설   사회적 대화  물꼬 튼 민주노총의 일자리위 참여,-1
한겨레,20170611, 한겨레 사설   강경화 낙마  밀어붙이는 국민의당의 착각,-1
한겨레,20170611, 한겨레 사설   가계부채 대책  너무 뜸들이지 말고 내놔야,0
한겨레,20170611, 한겨레 사설  교육 법무장관 후보  파격 넘는 개혁 보여주길,0
한겨레,20170612, 한겨레 사설  양심적 병역거부자  대체복무  도입 서둘러야,-1
한겨레,20170612, 한겨레 사설   일자리 추경  절박성 호소한 대통령의 시정연설,1
한겨레,20170612, 사설 속으로  한겨레 중앙일보   정치인 입각  사설 비교해보기,-1
한겨레,20170612, 한겨레 사설  끝내 무산된 김이수 김상조 청문보고서 채택,0
한겨레,20170613, 한겨레 사설   대법원 혁신  국민요구 반영해 후보 제청해야,0
한겨레,20170613, 한겨레 사설  김상조 공정위원장 임명 불가피했다,1
한겨레,20170613,한 미 29 30일 정상회담  북핵 사드 FTA 포괄 논의할 듯,1
한겨레,20170614, 한겨레 사설  학교현장 개혁과 함께 가야 할  외고 자사고 폐지 ,1
한겨레,20170614, 한겨레 사설  성과연봉제 폐지  임금체계 개편으로 이어져야,0
한겨레,20170614, 장흥배  을의 경제학  연 245조원 복지 재정 확보의 비결,1
한겨레,20170615, 한겨레 사설  안경환 조대엽 후보자 논란에 대해,-1
한겨레,20170615, 한겨레 사설   방송 정상화  틀어막는 적반하장 자유한국당,0
한겨레,20170615, 한겨레 사설  김관홍 잠수사를 기억하며,0
한겨레,20170615, 한겨레 사설  강경화 임명  결국 민심이 중요하다,-1
한겨레,20170616, 한겨레 사설  안경환 후보자의 사퇴  불가피한 선택이었다,0
한겨레,20170618, 한겨레 사설  문정인 특보의  대북 대화  발언 논란,-1
한겨레,20170618, 한겨레 사설   경제 민주주의  칼 빼든  김상조의 공정위 ,1
한겨레,20170618, 한겨레 사설   강경화 임명 으로  협치의 판  깨져선 안 된다,-1
한겨레,20170619, 한겨레 사설   탈핵 국가 로의 대전환  국민 합의가 중요하다,0
한겨레,20170619, 한겨레 사설  6 19 부동산 대책   강남 과열  잡을 수 있겠나,0
한겨레,20170619, 왜냐면   사드 먼저 철거하면 우리도 들어갈게    박수규,0
한겨레,20170619, 사설 속으로  한겨레 중앙일보   현충일 추념사 보훈의 의미  사설 비교해   ,-1
한겨레,20170620, 한겨레 사설  북한   웜비어 사태  진상 밝히고 유족에게 사과하라,0
